"ageOfVehicle","carMake","created","id","email","lastName","carModel","firstName","manufacturedDate","vinNumber"
39,"Land Rover","2021-04-29T00:46:46.742279",26200,"Lazaro Cardenas","Elgee","Range Rover Evoque","Wallie","1981-08-19","JA32U1FU1CU811556"
39,"Plymouth","2021-04-29T00:46:46.742279",26667,"Yongyang","Wadforth","Grand Voyager","Dyann","1981-08-22","1G6DF5EY1B0757975"
39,"Mercedes-Benz","2021-04-29T00:46:46.742279",26980,"Tenkodogo","Warman","SL-Class","Dacie","1981-08-22","KL4CJHSB9FB936990"
39,"Land Rover","2021-04-29T00:46:46.742279",26791,"Arbois","Goldson","Defender","Alfredo","1981-08-24","1G6DG5E57C0473206"
39,"GMC","2021-04-29T00:46:46.742279",26353,"Hanjia","Brandsma","2500","Spense","1981-08-25","JH4CW2H53CC957036"
39,"Chrysler","2021-04-29T00:46:46.742279",26308,"Umm Kaddadah","Franceschi","300","Sibby","1981-08-26","19UYA42611A595916"
39,"Chevrolet","2021-04-29T00:46:46.742279",26739,"Szydłowo","Delve","Corvette","Hansiain","1981-09-06","YV1622FS9C2000204"
39,"Mazda","2021-04-29T00:46:46.742279",26145,"Murça","Stanton","MPV","Denney","1981-09-07","WBAYF4C56DD058979"
39,"Porsche","2021-04-29T00:46:46.742279",26445,"Cipolletti","Emeline","928","Carissa","1981-09-08","WBAEA535X9C078690"
39,"Jeep","2021-04-29T00:46:46.742279",26745,"Świebodzice","Waterfield","Grand Cherokee","Wilhelmine","1981-09-11","2HNYD18956H063075"
39,"Scion","2021-04-29T00:46:46.742279",26987,"Tafeng","Sumpner","xB","Letisha","1981-09-18","WBA3A9C58EF471448"
39,"Ferrari","2021-04-29T00:46:46.742279",26516,"Nicosia","Robarts","612 Scaglietti","Frasquito","1981-09-19","WBABV13425J041890"
39,"Pontiac","2021-04-29T00:46:46.742279",26799,"Suisan","Boulden","Firebird","Huntlee","1981-10-06","5BZBF0AA8EN135834"
39,"BMW","2021-04-29T00:46:46.742279",26975,"Palmas","Trevorrow","530","Charla","1981-10-09","19XFB2E2XCE912897"
39,"Ford","2021-04-29T00:46:46.742279",26174,"Otlja","Crake","F350","Jeanette","1981-10-13","WBABS53473J780184"
39,"Toyota","2021-04-29T00:46:46.742279",26086,"Imotski","Janku","Corolla","Kath","1981-10-15","KMHDB8AE5CU117179"
39,"Volkswagen","2021-04-29T00:46:46.742279",26756,"Bosobolo","Peterffy","Fox","Billye","1981-10-15","WBXPC9C47AW064398"
39,"Mercury","2021-04-29T00:46:46.742279",26210,"Pokrzywnica","Mompesson","Marquis","Eloise","1981-10-24","SCFEDCAD7CG535756"
39,"Suzuki","2021-04-29T00:46:46.742279",26934,"Aldeias de Cima","Ebbings","Swift","Pepillo","1981-10-29","WAUVT58E65A578063"
39,"Audi","2021-04-29T00:46:46.742279",26836,"Zyryanovsk","Seal","90","Kacie","1981-10-31","5N1CR2MM8EC550110"
39,"Chrysler","2021-04-29T00:46:46.742279",26914,"Ban Talat Bueng","Bjorkan","LHS","Christiano","1981-10-31","WAURV78T48A129930"
39,"Subaru","2021-04-29T00:46:46.742279",26044,"Karlovy Vary","Crawley","Legacy","Elisha","1981-11-02","1FTEW1C80FK361573"
39,"Volkswagen","2021-04-29T00:46:46.742279",26232,"Jabon","Le Marchant","Passat","Geoff","1981-11-03","1G6KD57907U097110"
39,"BMW","2021-04-29T00:46:46.742279",26201,"Loivos","Heliot","5 Series","Garold","1981-11-07","1GD11ZCG8BF402178"
39,"Toyota","2021-04-29T00:46:46.742279",26422,"Atalhada","Speak","Sienna","Amalia","1981-11-08","WBAGN63564D331123"
39,"Dodge","2021-04-29T00:46:46.742279",26217,"Wangda","Hubbock","Caliber","Jobina","1981-11-10","WAUAFAFL3AA645194"
39,"Suzuki","2021-04-29T00:46:46.742279",26309,"Sassandra","Tures","SJ","Anthe","1981-11-10","1GYS3AKJ6FR907135"
39,"Volkswagen","2021-04-29T00:46:46.742279",26922,"Croix","Ferronel","New Beetle","Levin","1981-11-11","WBXPC93429W605269"
39,"Mercedes-Benz","2021-04-29T00:46:46.742279",26114,"Huaylillas","Pirt","G-Class","Garek","1981-11-18","KL4CJGSB4FB644707"
39,"Mercedes-Benz","2021-04-29T00:46:46.742279",26856,"Paratunka","Lockhurst","S-Class","Osborne","1981-11-30","WAUWFAFL0AA171789"
39,"Suzuki","2021-04-29T00:46:46.742279",26272,"Dadiharja","Sire","Grand Vitara","Cesya","1981-12-03","1D7RV1CP6AS666234"
